,id,user,tweet,location,created_at,retweet_count,class
66,1427384212445880325,phoebe_ayers,"I just keep thinking, what if we'd spent two trillion on reducing fossil fuels and fixing climate change these last… https://t.co/JMhWm3gfFZ","Camberville, MA",2021-08-16 21:38:10,1,air_polutants
84,1427349387714318359,redheadstrange,"@WokeLawyer I'm not sure if it's my own doing or if there are outside influences, but my google news has been flood… https://t.co/GtVHVd3DG6",AK,2021-08-16 19:19:47,0,floods
89,1427343091275485208,longharedbun,"#FF5Recap

Now with transportation: we take a trip to Walse to warn them of the impending danger.

But they all ass… https://t.co/1vs7veeH7Q","Somewhere, WA",2021-08-16 18:54:46,0,greentalk
90,1427342915982938119,Fajolesea,We can't wait for all three branches of government to be aligned on Climate Change.  Action starts with You.… https://t.co/M36ACX91qo,Pacific North West,2021-08-16 18:54:04,0,greentalk
92,1427339673240850432,mindsurftweet,"""If the pressures of climate change force the nation’s trees to start emitting carbon dioxide instead of sequesteri… https://t.co/OjukIPjHdx",Istanbul,2021-08-16 18:41:11,1,greentalk
97,1427327298492059656,Radio702,"""We have to increase our ambition for greenhouse gas reductions… Climate change is central to our strategy…""

- Fle… https://t.co/JMP70qSorv","Gauteng, South Africa",2021-08-16 17:52:01,1,greentalk
104,1427317432465645572,Hot_Gal_Izzy,"Like niggas is talking about getting married, having kids and blah blah blah but like we're living in a global pand… https://t.co/qpE9d7UHMu",D(M)V,2021-08-16 17:12:48,0,air_polutants
106,1427313682619449346,2Susann_G,"Climate change?
Nothing?
Indigenous Reconciliation?
There's already a mental health strategy for Cndns.
...

also t… https://t.co/O8If0HiFpZ",Canada's capital. ,2021-08-16 16:57:54,0,greentalk
107,1427312698719543321,OCHA_Ethiopia,Berebeyu is a small village in Amhara’s highlands that faces the realities of #climatechange with repeated droughts… https://t.co/jJK9WzZz3A,Ethiopia,2021-08-16 16:54:00,0,famine
113,1427306976942465028,leventkurnaz,@suberker @StraitTalkTRT And how that would affect TR migration policy both from Afganistan and Pakistan. Add to th… https://t.co/FNWFzVbpjM,Istanbul,2021-08-16 16:31:16,0,greentalk
121,1427300713714135045,PhilanthropyAge,"The UN’s code red for the environment is a green light for #philanthropy to invest more in #ClimateAction.
https://t.co/vZrvbcdYVY",UAE,2021-08-16 16:06:22,0,greentalk
125,1427296617552486408,Tgarciaazcarate,Tree planting: A double-edged sword to fight climate change in an era of megafires https://t.co/nQGxmR3cRF,"Madrid, España",2021-08-16 15:50:06,0,greentalk
127,1427295585887948804,fbertrand_,"Tell the students/professional in the field of water, sanitation and hygiene as well as climate change ! @siwi_www… https://t.co/4TDmoaiUio",Haiti,2021-08-16 15:46:00,1,water
153,1427261706372321280,BDincman,Hydroelectric drought: How climate change complicates California’s plans for a carbon-free future - Bulletin of the… https://t.co/MLDNnziX3l,Bodrum,2021-08-16 13:31:22,0,famine
154,1427260106044018688,KnightFKB,"Climate change is so politicized. 
It makes things more difficult for poor people =&gt; more expensive energy and less… https://t.co/VCk0AVFFcu",Royaume du Maroc,2021-08-16 13:25:01,0,renewable
176,1427238599041372167,resonant_theory,@BlackSteel120 @universal_sci Hydrogen when burned will output? In the best case water. So if we change all our tec… https://t.co/86OHN1NMYg,"Athens, Greece",2021-08-16 11:59:33,0,water
177,1427238322318057473,GozoNews,New post: Sixteen organisations criticise Government’s “inaction” on Climate Change https://t.co/K7hO0YF98s,"Gozo, Malta ",2021-08-16 11:58:27,0,greentalk
179,1427232669121851397,SmartYouthNet,Happening now. Transparency day. For climate change actions from @UgPresidency @mtic_uganda @PSF_Uganda  showcasing… https://t.co/jTrpfLrTew,"Kampala, Uganda",2021-08-16 11:35:59,2,greentalk
184,1427227500355203077,eo_services,retweet @ ERC_Research: 🌡️ The emulator ERC grantee Sonia Seneviratne developed via the DROUGHT-HEAT project could… https://t.co/pLsvxb74Ts,"Thessaloniki, Greece",2021-08-16 11:15:27,0,famine
185,1427226205724479500,SYNDGhana,"Revised youth policy will address climate change issues – NYA boss
https://t.co/Nd3a7D93nC","Accra, Ghana",2021-08-16 11:10:18,0,greentalk
188,1427223595747483648,ClimateWed,"📹 The race against the #climatecrisis is on. Everywhere, wildfires, heatwaves &amp; severe flooding are more frequent a… https://t.co/AUTtvXTuWu",Africa,2021-08-16 10:59:56,6,temperature
197,1427209775469768704,UNFPA_Arabic,Let's empower young people to fight the impacts of climate change. #YouthDay #YouthPower #Youth4GlobalAction https://t.co/c3YSw1vBYi,"Cairo, Egypt",2021-08-16 10:05:01,2,greentalk
200,1427205854747631618,EmiratesNBD_AE,We are excited to join the #PricelessPlanet Coalition which is committed to planting 100 million trees over five ye… https://t.co/eLAfh6G2Iw,United Arab Emirates,2021-08-16 09:49:26,0,greentalk
205,1427189756941721601,pjmblackswan,@joewallace99 @clovis69 @hankgreen - not only by the 'number of people who consume everyday' but by other things th… https://t.co/xvmOUTxuow,Tunisia ,2021-08-16 08:45:28,0,greentalk
212,1427182142300229636,feedpushr,"As the climate crisis worsens in the US, pressure for action from Biden and Kerry grows
https://t.co/DXmO22xeR0",Tou,2021-08-16 08:15:13,0,greentalk
215,1427180831404027908,gulf_news,"Today's Word Search: The answer to climate change could lie in underwater forests

https://t.co/qIEIfqpj6u",United Arab Emirates,2021-08-16 08:10:00,0,water
222,1427177363310252034,WakoJoel,"The #ClimateChange is making people think twice about having #children.

IPCC said global temperatures are to rise… https://t.co/P4KBIBxaxO","📍Africa, Kampala",2021-08-16 07:56:13,2,temperature
224,1427165597985656836,geonews_english,The climate report puts Pakistan in a more challenging situation than ever for concerted and swift actions to mitig… https://t.co/Nxb2mk3KA4,"Karachi, Pakistan",2021-08-16 07:09:28,1,greentalk
226,1427162130856480772,glasgowconsult,“Climate change is reaching alarming levels globally due in large part to emissions from burning fossil fuels for t… https://t.co/XNMatEydX6,"Dubai, United Arab Emirates ",2021-08-16 06:55:42,0,air_polutants
236,1427146000683184132,anith,"Microsoft Patch Tuesday bug drought: No, it’s not climate change or unexpected code quality improvements https://t.co/AWm5npvqE5","Doha, Qatar",2021-08-16 05:51:36,0,famine
240,1427142524347486208,hadouken51,Heavy doomsday feelings this morning - a raging pandemic- Afghanistan falling- forest fires- irreversible climate c… https://t.co/YMkBAUNq17,"Karachi, Pakistan",2021-08-16 05:37:47,1,greentalk
250,1427102781958025217,SalaamGateway,"More extreme weather patterns are emerging due to climate change, and record-high temperatures sweeping over the we… https://t.co/1hv9IAwqjH","Dubai, UAE",2021-08-16 02:59:52,1,temperature
251,1427098513716953099,_cosatu,Climate change will drive a revolution in transport and workers are ready to respond https://t.co/ilvqPpCbbF,"Johannesburg, South Africa",2021-08-16 02:42:54,0,greentalk
259,1427054245749133312,jkr_on_the_web,"‘Peanuts in the face of catastrophe’ - or the proverbial drop in the already endangered ocean. #ClimateAction 
https://t.co/XPE8jdi2PS",varies,2021-08-15 23:47:00,0,greentalk
266,1427038749138067456,urfavpalestini,"Tell me why I spent the past 30 minutes reading about climate change, accelerated sea level rise, melting glaciers,… https://t.co/rAapET8azg","Sharjah, United Arab Emirates",2021-08-15 22:45:25,0,floods
268,1427037682891247623,KaiSawaieke,Country that could vanish from the map as sea levels rise https://t.co/Qy8YbUbokO via @newscomauHQ,Fiji,2021-08-15 22:41:11,0,floods
276,1427008558676291594,staysik,"We MUST elect ppl willing to listen to the ppl about climate change, and push out ppl linked to fossil fuel interes… https://t.co/uT85etAt3z",City of Salt,2021-08-15 20:45:27,0,air_polutants
277,1427005609321406472,Bilawalkhano,Time to get serious about climate change. #ClimateReport #ClimateAction  https://t.co/jtaS1sVSfH,"Karachi, Pakistan",2021-08-15 20:33:44,0,greentalk
280,1426998196270678019,HabibHuseinGh,"Trees are major absorber of #CO2 
It also serves as shades in many places 
#climate change is real https://t.co/LHKqaXizbR","Accra, Ghana",2021-08-15 20:04:16,1,greentalk
283,1426994610983817216,crbarnes001,Ffs climate change ad showing drought and no water. Have they looked outside. Total numb nuts.,South East,2021-08-15 19:50:02,16,famine
284,1426993779010048002,SustyVibes,"- Make climate change personal. 

- Think through all our actions considering sustainability. 

This documentary is… https://t.co/eGTT0ILKNJ",Africa,2021-08-15 19:46:43,1,greentalk
293,1426977464136388612,MohsenA14631942,"https://t.co/BaBNapdl2e
to destroy what they agreed as green Countries Law to get rid of oil companies for climate… https://t.co/2bppnE3ZIT","Riyadh, Kingdom of Saudi Arabi",2021-08-15 18:41:54,0,greentalk
296,1426968478938853379,Walksca,@patrick_hruby @bachyns High school athletes become seriously ill or die every year from heat and it was worse in t… https://t.co/FISxrzpJcU,Little Beirut,2021-08-15 18:06:11,0,temperature
301,1426961844242112517,JCGarcia_CDTI,"RT @GlobalClimathon: Are you committed to accelerating climate action and innovation in your city?

Become a… https://t.co/pJrGAqAnR5","Madrid, Comunidad de Madrid",2021-08-15 17:39:49,0,greentalk
309,1426949556164517891,Mu25625176,"🇦🇹 AUSTRIA 

This is not a normal rain...

⚠️WATCH THE WATERS⚠️ 
  ⚠️ WATCH THE FIRES ⚠️
was a double meaning messa… https://t.co/qO1Tc4oiqs","Marbella, Spain",2021-08-15 16:51:00,0,water
312,1426929131569225731,MthokodaMpofana,"The developed world told us of climate change. Now, they're the very people burning forests. Does climate change ev… https://t.co/UAD23XtkdI",KwaZulu-Natal,2021-08-15 15:29:50,0,greentalk
313,1426919762907566082,Checholalo,"#Facebook let #FossilFuel industry push climate misinformation, report finds | Climate change | The Guardian
-… https://t.co/4suY8yNj39",Chile,2021-08-15 14:52:37,0,air_polutants
320,1426908952118317063,0489_35,"Wildfires burned forests, houses across some places in the country for more than a week as the greatest ecological… https://t.co/cND4aE6l5U",Tunis,2021-08-15 14:09:39,0,greentalk
323,1426906285832818698,WalidMahmodRouk,"Epidemic, climate change, forest fires, wars, poverty, hunger, racism, siege, refugees, occupation, and theft of na… https://t.co/nLXL1lQjKO","Palestine, Gaza strip ",2021-08-15 13:59:03,5,greentalk
334,1426887142521901059,Naledi_Moon,👋 @POTUS @JohnKerry @Gina_McCarthy I want you to support global and domestic proposals to protect &amp; plant billions… https://t.co/O5nuUKeD0Y,Pretoria,2021-08-15 12:42:59,0,greentalk
339,1426880517362835461,VirtuallyExists,@potaydur Every single day I am in awe of how this dude thinks a tree plantation drive should be the complete exten… https://t.co/07LfPX8rlX,Karachi,2021-08-15 12:16:40,0,greentalk
342,1426875968074010624,houssamchahin,"Parts of the world saw record temperatures this week, while deadly wildfires ripped through many counties including… https://t.co/w4Ul1JvUSH","Dubai, United Arab Emirates",2021-08-15 11:58:35,0,temperature
350,1426860560851812357,EWEC_AE,@IRENA’s report brings good news for the renewable energy industry as we pursue global climate change action by red… https://t.co/dAEYJ8IJnQ,Abu Dhabi,2021-08-15 10:57:22,0,renewable
353,1426848654493618178,ClimateSt,".@penn_state's #MichaelMann: ""This is #ClimateChange. It is an exclamation mark on a summer of unprecedented heat,… https://t.co/D5J60FLc0r","Madrid, Spain",2021-08-15 10:10:03,16,temperature
357,1426846239996452872,circle_divers,On Tuesday evening Aylin will be giving us a presentation about climate change and how it effects the underwater wo… https://t.co/YwVPSUlJZf,Sharm el sheikh & Dahab ,2021-08-15 10:00:27,0,water
359,1426843859884068868,ZSP_ORG,According to the latest edition of the FAO's Regional Overview of Food Security and Nutrition in the Near East and… https://t.co/kSy79ktbpi,"Abu Dhabi, UAE",2021-08-15 09:51:00,2,drought
361,1426839430736793603,fewcoopsa,How scientists are preparing wheat for climate change https://t.co/O5FcVNuMeh Mobile Bakeries for local market… https://t.co/zjVquQ02cq,Johannesburg Gauteng,2021-08-15 09:33:24,0,temperature
364,1426832152138817536,EmiratesNBD_AE,We are excited to join the #PricelessPlanet Coalition which is committed to planting 100 million trees over five ye… https://t.co/QqazfT7BGb,United Arab Emirates,2021-08-15 09:04:28,1,greentalk
369,1426813908032049153,NebiyuTedla,⚠️#Ethiopia is confronting huge challenges of disappearing fresh water bodies owing to #ClimateChange and over util… https://t.co/iPc2Q7eG3o,Kingdom of Saudi Arabia,2021-08-15 07:51:59,5,water
371,1426808412013223938,ClimateSt,".@IPCC_CH's #KoBarrett on #ClimateChange: ""It is still possible to forestall most of the dire impacts, but it reall… https://t.co/yXinmLugEt","Madrid, Spain",2021-08-15 07:30:08,0,greentalk
379,1426798785250856965,Nthabii_E,"Ba re climate change 😂😂😂😂😂.. In these streets, people just tweet nje, no knowledge, no common sense, just vibes and… https://t.co/nf1dgJeClt",Hlotse,2021-08-15 06:51:53,0,greentalk
388,1426780663596859392,MEEDEditor,"#Climatechange report is green light for #MiddleEast #energytransition 

@meeddubai  @MEEDJen 

https://t.co/mxINlHYcDw",Dubai,2021-08-15 05:39:53,0,greentalk
389,1426772417716891648,KnowSummit,"We extend our sincere appreciation to Ruba AlZubi, Strategic Advisor in Environmental Policy, Governance &amp; Green Ec… https://t.co/lYSQMvvseV","Dubai, United Arab Emirates",2021-08-15 05:07:07,0,greentalk
392,1426764701632016384,anith,"If You Want to Tackle Climate Change, Start With Methane https://t.co/o9SFy8XATt","Doha, Qatar",2021-08-15 04:36:27,0,air_polutants
393,1426763170794942464,ArabyOrg,"German Public Believes Scientists’ Climate Warnings, 74% Prepared to Change Lifestyle to Forestall Glo…… https://t.co/xD2CJMx40U","Alexandria, Egypt",2021-08-15 04:30:22,0,greentalk
398,1426752698813018113,YApolot,"@PyeparFaisal Climate change is having a massive toll all over the world. Fires, earth quakes and floods. It’s scary","Kampala, Uganda",2021-08-15 03:48:45,0,floods
405,1426717787003756545,AbdulRazakYAbd1,"I am looking for a job in an Energy, Environmental, Sanitation and Climate change sector. Any one looking to employ can inbox me.","Accra, Ghana",2021-08-15 01:30:02,0,renewable
406,1426709745218510848,volatilitysmile,That the same city that covered every legacy green housing block with concrete and glass towers to keep developers… https://t.co/Rv5vmxtUP7,Mare Nostrum,2021-08-15 00:58:04,0,greentalk
408,1426696453230153728,evlynbaines80,@ClimateReality Images such as this 2014 landslide in my city makes me feel compelled to take actions against envir… https://t.co/K4DSpnd7ez,"Sheffield, England",2021-08-15 00:05:15,1,greentalk
409,1426694846467686404,Owengoatman88,If we poured water on the sun then climate change wouldn’t exist anymore,Yo,2021-08-14 23:58:52,0,water
413,1426683636678602759,jcasaco,The first step in using trees to slow climate change: Protect the trees we have https://t.co/dzgEfZ9u5t,Canary Islands,2021-08-14 23:14:20,0,greentalk
414,1426683556252823552,pjmblackswan,"@joewallace99 @clovis69 @hankgreen Climate change, but we shouldn't forget that this is an urgent problem and big d… https://t.co/3HtmD11INX",Tunisia ,2021-08-14 23:14:00,0,greentalk
419,1426649210305318918,Dmaseinyourface,@tiemmel Don’t forget climate change and we live in the blistering heat of Missouri.,st.louis,2021-08-14 20:57:32,0,temperature
431,1426633193290145801,dstapl,McCarthy thinks forest management is a cure for climate change. Like most Republicans he’s just one more denier of… https://t.co/dmJTEBaYDb,Virginia,2021-08-14 19:53:53,0,greentalk
438,1426626247946346497,dino73uk,We're in a disastrous climate emergency – the government needs to push for real action when the world leaders gathe… https://t.co/xhGR6d9pLG,Athens,2021-08-14 19:26:17,0,greentalk
447,1426616441781067776,deepthinker_777,"@dwnews Not natural things.Wildfires,floods..Same time at diffirent countries...Some dirty hands will mandate ""clim… https://t.co/lIR8xdMJGu",Türkiye,2021-08-14 18:47:19,0,floods
451,1426605312728080391,tanoli_aasif,One of the best birthday gifts we can give our country in this era is planting a tree. Climate Change is a real cha… https://t.co/jxIucVXZbM,Karachi Pakistan,2021-08-14 18:03:06,1,greentalk
455,1426598296122970115,PablodeRamnLaca,"Good summer audiobook on the origins ""green thinking"" to meet global challenges, the transformation required to pus… https://t.co/gudTrLcdTp","Madrid, Spain",2021-08-14 17:35:13,0,greentalk
458,1426591434111655941,SueMagee20,"If You Want to Tackle Climate Change, Start With Methane https://t.co/zBWrYhI0HP? via @wired","Queluz, Portugal",2021-08-14 17:07:57,0,air_polutants
467,1426585412533903361,OgwalSam,"Yesterday, H.E @KagutaMuseveni  was able to launch the @NYCofUganda 60 million tree planting initiative by 2025. Le… https://t.co/ND2EIuHblJ",kampala - Uganda,2021-08-14 16:44:01,0,greentalk
474,1426580904026132482,ElleDR2,"@tomiahonen Abroad, red is the color of sick Christmas trees. Ukraine renamed the area around the Chernobyl reactor… https://t.co/ETOqe1D3iz",So. Cal. ,2021-08-14 16:26:06,0,greentalk
480,1426578126457483275,makisstasinos,Drought threatens Hungarian lake with environmental crisis (from @AP) https://t.co/cImLTDzv8S,"Athens, Greece.",2021-08-14 16:15:04,0,famine
495,1426546504483868677,HalaHamawi,@GGGIJordan during National Climate Change Commite Meeting highlighting the importance of Jordan Green Growth Acade… https://t.co/2KR8BfdSih,Hashemite Kingdom of Jordan,2021-08-14 14:09:25,2,greentalk
497,1426543147346272256,Josje23,'Climate deniers are morphing into renewable energy deniers — people who accept climate change but deny that we can… https://t.co/5SX7jd1Khd,Nicosia,2021-08-14 13:56:04,1,renewable
499,1426542766025285634,burkzdemir,"I believe that solar cells will considerable help fighting against climate change.
#ClimateEmergency #ClimateReport #solarcells #renewables","Bandırma, Türkiye",2021-08-14 13:54:33,0,greentalk
500,1426542121360691203,LouiseS59574631,Freak ‘meteotsunami’ flood  hits Spanish holiday destination of Alicante  https://t.co/VjhcxdFKUK,"Orihuela, España",2021-08-14 13:52:00,0,floods
517,1426521609112854529,NZGlobalCitizen,@reaIannoyed Nice to see they’re all wearing green. I’m assuming this means the radical right are embracing climate change 🤗,Kingdom of Saudi Arabia,2021-08-14 12:30:29,0,greentalk
532,1426510405468368898,makisstasinos,Hydrogen-powered vehicles: A realistic path to clean energy? (from @AP) https://t.co/LZl39tdEdM,"Athens, Greece.",2021-08-14 11:45:58,0,renewable
533,1426510158063099905,AJEnglish,"For more than 60 years, Richard Ambassa Mbassiga harvested dozens of bags of cocoa from his plantation in central C… https://t.co/YwI0PJSPmM","Doha, Qatar",2021-08-14 11:44:59,89,greentalk
537,1426502440925417476,chyyyfryyy,No but seriously I wish we would all stop faking it and really focus on major issues i.e the food shortage (climate… https://t.co/cFVovLWjwX,YaaD,2021-08-14 11:14:19,0,drought
542,1426498407707852802,ThembiMrototo,"We're discussing hunger and  food insecurity as a result of war, climate change and covid-19 on @Newzroom405 at 13:… https://t.co/gqwLbzaSEZ","Johannesburg,South Africa",2021-08-14 10:58:18,0,drought
544,1426497545631567872,PTISouth_KHI,"Every single individual, each plant counts in this campaign to save this city from Climate Change. PTI Karachi has… https://t.co/Tc9SE1Pgj2",Karachi,2021-08-14 10:54:52,37,greentalk
547,1426495061118775297,DailySabah,"Europe’s glaciers increasingly split, shrink, diminish with rising temperatures as climate change threatens contine… https://t.co/JKAUGLu87w",Istanbul,2021-08-14 10:45:00,0,temperature
550,1426487385588633601,TC_Africa,"The major concern is that as warming continues, more extreme climate events, such as droughts, are projected to inc… https://t.co/Kke4hY6rmP","Johannesburg, South Africa",2021-08-14 10:14:30,0,famine
551,1426486268939153409,ClimateSt,".@pik_klima's #NiklasBoers: ""We should try all that we can to reduce #GreenhouseGas emissions as quickly as possibl… https://t.co/5a5r41qHrZ","Madrid, Spain",2021-08-14 10:10:04,0,greentalk
552,1426485909638238210,wookie_mama,@ClearHeatVision Sssttttoooooppppp. I know what's happening and what is going to happen. I only have so much capaci… https://t.co/OjNCWorj06,Central MA,2021-08-14 10:08:38,0,temperature
555,1426483744832200709,EmiratesNBD_AE,We are excited to join the #PricelessPlanet Coalition which is committed to planting 100 million trees over five ye… https://t.co/hyVJKRCsUZ,United Arab Emirates,2021-08-14 10:00:02,1,greentalk
564,1426475383680118786,naumhassan,"Happy Independence Day Pakistan 🇵🇰. #pakistan #independanceday 

Let’s aim to make Pakistan Green under 10-billion… https://t.co/wFClnoefS6",United Arab Emirates,2021-08-14 09:26:48,0,greentalk
567,1426473714221297665,BRSP_Pakistan,Prime Minister Imran Khan’s Ten Billion Tree Tsunami initiative is aimed to battle the climate change &amp; monsoon sea… https://t.co/rOHcQmRtw2,"Balochistan, Pakistan",2021-08-14 09:20:10,2,greentalk
571,1426470401786458114,KabuubiMedia,THE MBALE TREES PROJECT – funded by the long-standing Wales and Africa programme – aims to plant over 3 million tre… https://t.co/ImeA50LB6l,"Kampala,Uganda",2021-08-14 09:07:00,0,greentalk
572,1426469621373317121,MkhanAbroSindh,@qnqamar A good way to payback to your country. @qnqamar Planting new trees is the only way to combat climate change.,"Karachi, Pakistan",2021-08-14 09:03:54,0,greentalk
574,1426464074674626563,tallcedarofleb,Climate change is coming for your sushi amid a historic drought in California https://t.co/5laZ2hEq4S via @business,"Beirut,  Lebanon",2021-08-14 08:41:52,0,famine
575,1426464016768114691,iUzmaHTahir,He is revolutionising Pakistan 🇵🇰 as GREEN ZONE and saving our country for the future generations. History will rem… https://t.co/qrldQtNhaZ,"Karachi, Pakistan",2021-08-14 08:41:38,2,greentalk
588,1426450684409520134,wrexbrown,@MTNSwaziland It's unfortunate your prize is a climate changing super driver .. why not giveaway residential solar… https://t.co/8OFq5vAYYg,Swaziland,2021-08-14 07:48:39,0,greentalk
591,1426444774253412352,GastechEvent,"As pressure increases on the gas, LNG and hydrogen industry to support climate change mitigation, ESG performance i… https://t.co/caoj2S1Kfe",Dubai,2021-08-14 07:25:10,0,air_polutants
592,1426444057103020035,kvconner,A ‘Code Red for Humanity’ scientific rept concludes countries and corporations have delayed curbing fossil-fuel emi… https://t.co/FDLYflyPQh,CO,2021-08-14 07:22:19,0,air_polutants
598,1426438422789492739,PakinTurkey,"Green Pakistan To Fight Climate Change

@ForeignOfficePk @GovtofPakistan @epwing_official 
#14AugustAzadiDay… https://t.co/axNX5lUX1u","Ankara, Türkiye",2021-08-14 06:59:56,2,greentalk
599,1426437068067151872,PNaamara,#ViewsPeopleNewsVPN #KFM How to transform food systems in line with the climate change and how to get the youth inv… https://t.co/U3cRX12p6V,"Kampala, Uganda",2021-08-14 06:54:33,0,drought
609,1426425954600161281,CharlesEllinas,Learning to live with climate change: lessons from Los Angeles - With a 1.5C rise in temperatures now seeming inevi… https://t.co/HLX7xBLiKk,Nicosia Cyprus,2021-08-14 06:10:23,2,temperature
612,1426423340697374722,katereggadennis,"Methane Is a New Big Enemy in the Battle Over Climate Change, IPCC Says https://t.co/F0evCNzPdT","Kampala, Uganda",2021-08-14 06:00:00,0,air_polutants
622,1426386737538863105,gulf_news,New heat record 'adds to the disturbing path that climate change has set for the globe' https://t.co/G3zcf7wvTq,United Arab Emirates,2021-08-14 03:34:33,2,temperature
627,1426369939527507978,Gwadar_Pro,#Pakistan assured the international community that it would shift to 60% clean energy &amp; 30% electric vehicle use by… https://t.co/Wgt12sSmwT,"Gwadar, Pakistan",2021-08-14 02:27:48,16,renewable
632,1426332943048400900,ZazaFL,"Ireland's green energy plans have a big tech data centre problem
https://t.co/QiVVa2nlgr #ClimateEmergency","Jerusalem, Palestine",2021-08-14 00:00:48,0,greentalk
633,1426332747946070021,AJEnglish,"Climate change is pushing the Columbia River to its limit, leading to sockeye salmon dying from heat-stress. https://t.co/6APwu4O2b7","Doha, Qatar",2021-08-14 00:00:01,221,temperature
644,1426311179744555015,jose_bongani,"The whole🌍 world is going to be hit by a deadliest heat wave🔥🔥🔥🔥🔥, climate change. God has spoken","Pretoria, South Africa",2021-08-13 22:34:19,0,temperature
647,1426307577651109891,AlArabiya_Eng,"A dangerous heatwave is sweeping across the #Mediterranean, the latest in a series of recent extreme weather events… https://t.co/8RByL7TJiO",Dubai,2021-08-13 22:20:00,1,temperature
654,1426281048162422786,prin0164,"@Free_Energy__ @janine_j This isn't even professionally edited 
'didn't died' 
Besides its pro animal testig

Homep… https://t.co/ZZL4dLP9kv","Johannesburg, South Africa ",2021-08-13 20:34:35,0,renewable
655,1426278695812182019,AnodaKwesi,"Bro, even if you don’t believe in climate change and the science behind it, the current threat posed to food, water… https://t.co/yMsfyQce4E","Accra, Ghana",2021-08-13 20:25:14,2,drought
657,1426275639930273803,terbed,"@WorldBank 1. Plant more trees 🎄
2. Create public awareness on the importance of greener future and climate change… https://t.co/u3FCM4zb66","Eldoret,Kenya",2021-08-13 20:13:06,0,greentalk
658,1426274113195319296,damienguard,@oldfarmhorace @stevestreeting @boudloForge @KMFBrown @YvonneBurford Maybe not initially - the immediate effect mad… https://t.co/g1VQfJsBCx,"Guernsey, CI",2021-08-13 20:07:02,0,greentalk
662,1426269125400309762,JL4Kouassi,"#Emploi #Employment #Vacancy
The AfDB is recruiting a Principal Climate Change and Green Growth Officer
Deadline: 0… https://t.co/gTtCI0lBsA",Abidjan,2021-08-13 19:47:12,0,greentalk
665,1426267362886553607,pjmblackswan,"@hankgreen - THIS? Same people who think that owning a reusable straw will end climate change. 

Not having childre… https://t.co/EatKbHfqYh",Tunisia ,2021-08-13 19:40:12,0,greentalk
667,1426266657987702786,AlbertGumbo,"Africa is suffering from increasing heat &amp; droughts, even though the continent itself plays a very small role in ca… https://t.co/f8Rdy2Txph",Johannesburg,2021-08-13 19:37:24,0,temperature
672,1426261531302404102,FahadKhanGhori1,One of the best birthday gifts we can give our country in this era is planting a tree. Climate Change is a real cha… https://t.co/h4fc7t6Fkk,"Karachi, Pakistan",2021-08-13 19:17:02,1,greentalk
